target_id,prep_type,cq,dilution,tech_rep
2X,std,12.96863326,0.0001,1
2X,std,13.18747087,0.0001,2
3X,std,14.68312688,0.0001,1
3X,std,12.94660524,0.0001,1
4X,std,11.65173726,0.0001,2
4X,std,11.76851417,0.0001,1
9X,std,15.13927809,0.0001,2
9X,std,15.0714813,0.0001,1
2X,std,15.98373863,0.00001,2
2X,std,16.15696793,0.00001,1
3X,std,17.85980158,0.00001,2
3X,std,17.87397606,0.00001,1
4X,std,15.0366521,0.00001,2
4X,std,15.11149412,0.00001,1
9X,std,15.52569554,0.00001,1
9X,std,15.6820493,0.00001,2
2X,std,18.84741915,0.000001,1
2X,std,18.84156856,0.000001,2
3X,std,21.15015086,0.000001,1
3X,std,21.13820788,0.000001,2
4X,std,18.73440873,0.000001,1
4X,std,18.84368218,0.000001,2
9X,std,19.17843791,0.000001,1
9X,std,19.22574007,0.000001,1
2X,std,22.42239689,0.0000001,2
2X,std,22.36376723,0.0000001,1
3X,std,25.02047692,0.0000001,2
3X,std,25.16152059,0.0000001,1
4X,std,22.18879645,0.0000001,2
4X,std,22.31812235,0.0000001,1
9X,std,23.14301025,0.0000001,2
9X,std,22.86753263,0.0000001,1
2X,non_exo,14.68573634,1,1
2X,non_exo,15.09150776,1,2
3X,non_exo,15.64721402,1,1
3X,non_exo,15.51267584,1,2
4X,non_exo,15.99600636,1,1
4X,non_exo,16.04062673,1,2
9X,non_exo,21.13885659,1,1
9X,non_exo,19.82543483,1,2
2X,exo,17.48085175,1,1
2X,exo,16.81074361,1,2
3X,exo,17.24027433,1,1
3X,exo,17.27848149,1,1
4X,exo,20.03518076,1,2
4X,exo,19.93597553,1,1
9X,exo,22.58984492,1,2
9X,exo,22.64739109,1,1
2X,ntc,NaN,1,2
2X,ntc,NaN,1,1
3X,ntc,NaN,1,2
3X,ntc,NaN,1,1
4X,ntc,NaN,1,2
4X,ntc,NaN,1,1
9X,ntc,29.87869371,1,1
9X,ntc,29.62616343,1,2
