prep_type,target_id,cq,dilution,tech_rep
std,pTd2,13.33421416,0.0001,1
std,pTd2,13.42398841,0.0001,2
std,pTd3,12.69694542,0.0001,1
std,pTd3,12.6595898,0.0001,2
std,pTd1,12.29040072,0.0001,1
std,pTd1,12.53626042,0.0001,2
std,pTff2,17.45164563,0.0001,1
std,pTff2,17.76273094,0.0001,2
std,pTff1,14.78380901,0.0001,1
std,pTff1,15.05714779,0.0001,2
std,pTff3,14.73628992,0.0001,1
std,pTff3,14.91202082,0.0001,2
std,pTd2,17.67827949,0.00001,1
std,pTd2,17.47439707,0.00001,2
std,pTd3,16.27754754,0.00001,1
std,pTd3,16.24660394,0.00001,2
std,pTd1,16.14612979,0.00001,1
std,pTd1,16.16025783,0.00001,2
std,pTff2,20.39703062,0.00001,1
std,pTff2,20.54320089,0.00001,2
std,pTff1,18.16737889,0.00001,1
std,pTff1,18.10339923,0.00001,2
std,pTff3,18.13987845,0.00001,1
std,pTff3,18.20194296,0.00001,2
std,pTd2,21.21825363,0.000001,1
std,pTd2,21.34809428,0.000001,2
std,pTd3,19.32125701,0.000001,1
std,pTd3,19.25576056,0.000001,2
std,pTd1,20.03991174,0.000001,1
std,pTd1,19.91933639,0.000001,2
std,pTff2,22.69086206,0.000001,1
std,pTff2,22.66996575,0.000001,2
std,pTff1,22.55695236,0.000001,1
std,pTff1,22.95750458,0.000001,2
std,pTff3,20.39517436,0.000001,1
std,pTff3,20.28408587,0.000001,2
std,pTd2,25.73575996,0.0000001,1
std,pTd2,25.79032683,0.0000001,2
std,pTd3,24.53832322,0.0000001,1
std,pTd3,24.74130234,0.0000001,2
std,pTd1,22.59642912,0.0000001,1
std,pTd1,22.6623832,0.0000001,2
std,pTff2,28.14443178,0.0000001,1
std,pTff2,28.41793162,0.0000001,2
std,pTff1,27.18702711,0.0000001,1
std,pTff1,27.40089594,0.0000001,2
std,pTff3,25.83057028,0.0000001,1
std,pTff3,26.00286846,0.0000001,2
non_exo,pTd2,11.94470879,1,1
non_exo,pTd2,12.09359611,1,2
non_exo,pTd3,10.4199315,1,1
non_exo,pTd3,11.00287247,1,2
non_exo,pTd1,11.75897506,1,1
non_exo,pTd1,12.27308829,1,2
non_exo,pTff2,16.36495535,1,1
non_exo,pTff2,15.73843652,1,2
non_exo,pTff1,18.50615053,1,1
non_exo,pTff1,18.0236168,1,2
non_exo,pTff3,12.27115635,1,1
non_exo,pTff3,12.29030681,1,2
exo,pTd2,13.04380257,1,1
exo,pTd2,13.20523788,1,2
exo,pTd3,11.35422723,1,1
exo,pTd3,11.20946436,1,2
exo,pTd1,13.3998549,1,1
exo,pTd1,13.30953446,1,2
exo,pTff2,17.56570761,1,1
exo,pTff2,18.15193983,1,2
exo,pTff1,22.76426664,1,1
exo,pTff1,24.38827687,1,2
exo,pTff3,14.54463876,1,1
exo,pTff3,14.5554014,1,2
ntc,pTd2,NaN,1,1
ntc,pTd2,NaN,1,2
ntc,pTd3,38.2792005,1,1
ntc,pTd3,37.33529139,1,2
ntc,pTd1,28.31329077,1,1
ntc,pTd1,28.50567788,1,2
ntc,pTff2,NaN,1,1
ntc,pTff2,NaN,1,2
ntc,pTff1,32.00741295,1,1
ntc,pTff1,31.97941,1,2
ntc,pTff3,NaN,1,1
ntc,pTff3,NaN,1,2
